Cluster-1	total=29	enrichmentScore=3.0701007774592215	phaseStdDev=2.005629377762261	"Mitochondrion,Transit peptide,MitochondrionAnnotation Cluster 1"	Enrichment Score: 3.0701007774592215								
FBtr0310323	CG13185-RD	1.711097	0.008018	19.3	FlyBase CG13185-RD	Figure for CG13185-RD							
FBtr0334748	Srpk79D-RM	0.851668	0.039811	0	FlyBase Srpk79D-RM	Figure for Srpk79D-RM							
FBtr0302185	sgg-RO	0.472353	0.034536	0.2	FlyBase sgg-RO	Figure for sgg-RO							
FBtr0299929	sqa-RB	1.064147	0.03782	2.3	FlyBase sqa-RB	Figure for sqa-RB							
FBtr0339440	Pfrx-RN	1.096856	0.040967	9	FlyBase Pfrx-RN	Figure for Pfrx-RN							
FBtr0334895	tst-RB	0.832718	0.042263	18.5	FlyBase tst-RB	Figure for tst-RB							
FBtr0082535	Lk6-RB	0.444921	0.05251	19.7	FlyBase Lk6-RB	Figure for Lk6-RB							
FBtr0333218	Pdk1-RJ	1.289345	0.018529	9.8	FlyBase Pdk1-RJ	Figure for Pdk1-RJ							
FBtr0110973	Mhcl-RF	2.370578	0.005379	19.2	FlyBase Mhcl-RF	Figure for Mhcl-RF							
FBtr0333697	CG32195-RC	1.217023	0.017597	21.1	FlyBase CG32195-RC	Figure for CG32195-RC							
FBtr0076106	CG32091-RB	1.192504	0.013115	19.8	FlyBase CG32091-RB	Figure for CG32091-RB							
FBtr0081638	Dpck-RA	1.274237	0.037522	21.9	FlyBase Dpck-RA	Figure for Dpck-RA							
FBtr0077189	Rpt6-RA	0.894569	0.031588	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0089451	anne-RG	1.726239	0.015683	2.9	FlyBase anne-RG	Figure for anne-RG							
FBtr0334640	Lrrk-RC	1.391877	0.026614	15.3	FlyBase Lrrk-RC	Figure for Lrrk-RC							
FBtr0112920	RhoGAP1A-RB	1.047118	0.037522	17.4	FlyBase RhoGAP1A-RB	Figure for RhoGAP1A-RB							
FBtr0072117	bw-RA	1.963185	0	22.1	FlyBase bw-RA	Figure for bw-RA							
FBtr0304964	Cam-RD	0.285993	NOTEST	19.5	FlyBase Cam-RD	Figure for Cam-RD							
FBtr0088264	Galphao-RB	0.624849	0.044367	20.8	FlyBase Galphao-RB	Figure for Galphao-RB							
FBtr0089734	r-RA	2.226534	0.009609	17	FlyBase r-RA	Figure for r-RA							
FBtr0072470	Pdk1-RB	1.236206	0.037102	11.6	FlyBase Pdk1-RB	Figure for Pdk1-RB							
FBtr0333673	CaMKII-RK	1.019696	NOTEST	23.7	FlyBase CaMKII-RK	Figure for CaMKII-RK							
FBtr0071168	Trxr-1-RB	1.093512	0.03296	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0334482	bt-RH	0.555417	0.050058	11.4	FlyBase bt-RH	Figure for bt-RH							
FBtr0073434	Hsp60A-RA	0.612212	0.040599	23.7	FlyBase Hsp60A-RA	Figure for Hsp60A-RA							
FBtr0089553	Ubc10-RA	0.461991	0.048262	0.8	FlyBase Ubc10-RA	Figure for Ubc10-RA							
FBtr0113205	CG7878-RA	1.577012	0	3.9	FlyBase CG7878-RA	Figure for CG7878-RA							
FBtr0336459	CG31145-RF	2.612241	0.005379	19.5	FlyBase CG31145-RF	Figure for CG31145-RF							
FBtr0084852	CG10560-RA	0.848533	0.056233	4.7	FlyBase CG10560-RA	Figure for CG10560-RA							
FBtr0112788	Lrrk-RB	1.919281	0.016774	2.3	FlyBase Lrrk-RB	Figure for Lrrk-RB							
FBtr0072320	Adck-RA	1.633868	0.019558	21.4	FlyBase Adck-RA	Figure for Adck-RA							
FBtr0333914	CG17698-RF	0.983639	0.040404	21.9	FlyBase CG17698-RF	Figure for CG17698-RF							
FBtr0073697	CG32649-RA	1.021467	0.022309	22.1	FlyBase CG32649-RA	Figure for CG32649-RA							
FBtr0336705	aux-RC	1.003578	0.040178	9	FlyBase aux-RC	Figure for aux-RC							
FBtr0110922	Eip63E-RH	1.064194	NOTEST	1.4	FlyBase Eip63E-RH	Figure for Eip63E-RH							
													
Cluster-4	total=13	enrichmentScore=1.76593571741959	phaseStdDev=5.799352278361772	"ANK repeat,ANK,Ankyrin repeat,ANK 2,ANK 1,Ankyrin repeat-containing domain,ANK 3Annotation Cluster 4"	Enrichment Score: 1.76593571741959								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	ANK repeat	11	1.585014409	0.006185191	0.501415769	5.799352278	"FBtr0303757, FBtr0089340, FBtr0112788, FBtr0302662, FBtr0087869, FBtr0085513, FBtr0084369, FBtr0080362, FBtr0334640, FBtr0084890, FBtr0087870, FBtr0088473, FBtr0072417"	694	80	13921	2.758123199	0.789296642	0.112760789
SMART	SM00248:ANK	11	1.585014409	0.012962506	0.501415769	5.799352278	"FBtr0303757, FBtr0089340, FBtr0112788, FBtr0302662, FBtr0087869, FBtr0085513, FBtr0084369, FBtr0080362, FBtr0334640, FBtr0084890, FBtr0087870, FBtr0088473, FBtr0072417"	289	81	5218	2.45196292	0.952165577	1
INTERPRO	IPR002110:Ankyrin repeat	11	1.585014409	0.017591023	0.501415769	5.799352278	"FBtr0303757, FBtr0089340, FBtr0112788, FBtr0302662, FBtr0087869, FBtr0085513, FBtr0084369, FBtr0080362, FBtr0334640, FBtr0084890, FBtr0087870, FBtr0088473, FBtr0072417"	611	84	10984	2.354142312	0.999999997	1
UP_SEQ_FEATURE	repeat:ANK 2	5	0.720461095	0.018635485	3.2457984	4.921615145	"FBtr0089340, FBtr0302662, FBtr0088473, FBtr0072417, FBtr0085513"	196	17	3113	4.671368547	0.99998458	1
UP_SEQ_FEATURE	repeat:ANK 1	5	0.720461095	0.018635485	3.2457984	4.921615145	"FBtr0089340, FBtr0302662, FBtr0088473, FBtr0072417, FBtr0085513"	196	17	3113	4.671368547	0.99998458	1
INTERPRO	IPR020683:Ankyrin repeat-containing domain	11	1.585014409	0.020453186	0.501415769	5.799352278	"FBtr0303757, FBtr0089340, FBtr0112788, FBtr0302662, FBtr0087869, FBtr0085513, FBtr0084369, FBtr0080362, FBtr0334640, FBtr0084890, FBtr0087870, FBtr0088473, FBtr0072417"	611	86	10984	2.299394816	1	1
UP_SEQ_FEATURE	repeat:ANK 3	4	0.576368876	0.043418461	5.4509115	2.442386257	"FBtr0089340, FBtr0302662, FBtr0088473, FBtr0072417"	196	13	3113	4.886970173	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0334640	Lrrk-RC	1.391877	0.026614	15.3	FlyBase Lrrk-RC	Figure for Lrrk-RC							
FBtr0303757	Kank-RG	1.13387	0.033575	5.7	FlyBase Kank-RG	Figure for Kank-RG							
FBtr0080362	Patsas-RA	0.634581	0.047189	1.3	FlyBase Patsas-RA	Figure for Patsas-RA							
FBtr0087869	nemy-RC	0.338843	0.050058	18.9	FlyBase nemy-RC	Figure for nemy-RC							
FBtr0084369	CenB1A-RB	1.13064	0.045242	15.3	FlyBase CenB1A-RB	Figure for CenB1A-RB							
FBtr0089340	Rel-RC	0.870308	0.049729	3.5	FlyBase Rel-RC	Figure for Rel-RC							
FBtr0084890	Tnks-RA	1.087406	0.036727	21.2	FlyBase Tnks-RA	Figure for Tnks-RA							
FBtr0302662	rdgA-RC	0.455241	0.037102	3.1	FlyBase rdgA-RC	Figure for rdgA-RC							
FBtr0112788	Lrrk-RB	1.919281	0.016774	2.3	FlyBase Lrrk-RB	Figure for Lrrk-RB							
FBtr0085513	trp-RA	2.500768	0.011589	18.4	FlyBase trp-RA	Figure for trp-RA							
FBtr0072417	pain-RA	0.786701	0.023178	6.1	FlyBase pain-RA	Figure for pain-RA							
FBtr0087870	nemy-RB	2.370145	0.009609	6.4	FlyBase nemy-RB	Figure for nemy-RB							
FBtr0088473	trpl-RB	1.302533	0.033575	9.2	FlyBase trpl-RB	Figure for trpl-RB							
													
Cluster-5	total=21	enrichmentScore=1.5576731462495752	phaseStdDev=5.537336672696959	"Calcium transport,calcium ion transmembrane transport,Calcium channel,ANK 2,ANK 1,store-operated calcium channel activity,Calcium,regulation of cytosolic calcium ion concentration,Ion transport domain,calcium channel activity,identical protein binding,calcium ion transportAnnotation Cluster 5"	Enrichment Score: 1.5576731462495752								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Calcium transport	6	0.864553314	0.002500874	-0.930599333	5.077563135	"FBtr0336699, FBtr0300555, FBtr0331716, FBtr0088473, FBtr0075542, FBtr0085513"	694	20	13921	6.017723343	0.466611677	0.059270709
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	5	0.720461095	0.007652983	3.74451	5.351873813	"FBtr0300555, FBtr0088473, FBtr0072417, FBtr0332356, FBtr0085513"	566	16	10996	6.071113074	0.999971218	1
UP_KEYWORDS	Calcium channel	4	0.576368876	0.011331563	16.947008	4.669789933	"FBtr0336699, FBtr0088473, FBtr0075542, FBtr0085513"	694	10	13921	8.023631124	0.942757563	0.157975315
UP_SEQ_FEATURE	repeat:ANK 2	5	0.720461095	0.018635485	3.2457984	4.921615145	"FBtr0089340, FBtr0302662, FBtr0088473, FBtr0072417, FBtr0085513"	196	17	3113	4.671368547	0.99998458	1
UP_SEQ_FEATURE	repeat:ANK 1	5	0.720461095	0.018635485	3.2457984	4.921615145	"FBtr0089340, FBtr0302662, FBtr0088473, FBtr0072417, FBtr0085513"	196	17	3113	4.671368547	0.99998458	1
GOTERM_MF_DIRECT	GO:0015279~store-operated calcium channel activity	3	0.432276657	0.0265587	16.41932233	5.287921019	"FBtr0336699, FBtr0088473, FBtr0085513"	507	5	9284	10.98698225	0.999999684	1
UP_KEYWORDS	Calcium	12	1.729106628	0.031357545	0.042211917	5.441876196	"FBtr0336699, FBtr0300555, FBtr0085694, FBtr0331759, FBtr0331716, FBtr0082547, FBtr0088473, FBtr0304964, FBtr0075542, FBtr0072954, FBtr0085513, FBtr0081016"	694	117	13921	2.057341314	0.999663459	0.309655756
GOTERM_BP_DIRECT	GO:0051480~regulation of cytosolic calcium ion concentration	3	0.432276657	0.034438838	1.648367333	6.026349948	"FBtr0300555, FBtr0088473, FBtr0085513"	566	6	10996	9.713780919	1	1
INTERPRO	IPR005821:Ion transport domain	6	0.864553314	0.038071058	-0.229394667	5.981580265	"FBtr0299833, FBtr0088473, FBtr0072417, FBtr0074973, FBtr0085513, FBtr0089659"	611	34	10984	3.172427072	1	1
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	5	0.720461095	0.050287259	14.1525992	5.416300559	"FBtr0113768, FBtr0088473, FBtr0072417, FBtr0075542, FBtr0085513"	507	26	9284	3.521468669	1	1
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	4	0.576368876	0.194024356	13.86820475	4.610008678	"FBtr0088473, FBtr0075542, FBtr0085513, FBtr0347061"	507	28	9284	2.615948154	1	1
GOTERM_BP_DIRECT	GO:0006816~calcium ion transport	4	0.576368876	0.253233995	13.05314975	5.534116389	"FBtr0088473, FBtr0072417, FBtr0075542, FBtr0085513"	566	34	10996	2.28559551	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0082547	Cpn-RA	0.398669	0.051533	1.5	FlyBase Cpn-RA	Figure for Cpn-RA							
FBtr0089659	Sh-RA	0.790605	0.040178	17.3	FlyBase Sh-RA	Figure for Sh-RA							
FBtr0113768	zyd-RA	2.078775	NOTEST	18.6	FlyBase zyd-RA	Figure for zyd-RA							
FBtr0347061	CG11241-RC	1.076201	0.035493	9.3	FlyBase CG11241-RC	Figure for CG11241-RC							
FBtr0332356	CG42817-RB	1.358187	0.03836	7.7	FlyBase CG42817-RB	Figure for CG42817-RB							
FBtr0299833	KCNQ-RD	0.662288	0.042671	23.8	FlyBase KCNQ-RD	Figure for KCNQ-RD							
FBtr0304964	Cam-RD	0.285993	NOTEST	19.5	FlyBase Cam-RD	Figure for Cam-RD							
FBtr0074973	Shal-RA	1.551797	0.015683	19.8	FlyBase Shal-RA	Figure for Shal-RA							
FBtr0336699	olf186-F-RG	0.235081	0.024683	21.7	FlyBase olf186-F-RG	Figure for olf186-F-RG							
FBtr0089340	Rel-RC	0.870308	0.049729	3.5	FlyBase Rel-RC	Figure for Rel-RC							
FBtr0085694	aralar1-RA	2.616683	0.013115	3.9	FlyBase aralar1-RA	Figure for aralar1-RA							
FBtr0302662	rdgA-RC	0.455241	0.037102	3.1	FlyBase rdgA-RC	Figure for rdgA-RC							
FBtr0331716	rdgB-RI	1.704986	0.02037	21.3	FlyBase rdgB-RI	Figure for rdgB-RI							
FBtr0081016	CadN-RE	1.15022	0.038189	11.6	FlyBase CadN-RE	Figure for CadN-RE							
FBtr0085513	trp-RA	2.500768	0.011589	18.4	FlyBase trp-RA	Figure for trp-RA							
FBtr0072954	Pxn-RE	0.910893	0.027401	19.5	FlyBase Pxn-RE	Figure for Pxn-RE							
FBtr0300555	PMCA-RJ	0.806711	0.036061	1.3	FlyBase PMCA-RJ	Figure for PMCA-RJ							
FBtr0072417	pain-RA	0.786701	0.023178	6.1	FlyBase pain-RA	Figure for pain-RA							
FBtr0331759	alpha-Man-Ia-RP	0.705316	0.048262	22.1	FlyBase alpha-Man-Ia-RP	Figure for alpha-Man-Ia-RP							
FBtr0075542	fwe-RA	0.099005	0.033575	18.5	FlyBase fwe-RA	Figure for fwe-RA							
FBtr0088473	trpl-RB	1.302533	0.033575	9.2	FlyBase trpl-RB	Figure for trpl-RB							
													
Cluster-6	total=21	enrichmentScore=1.5372277122440874	phaseStdDev=5.225651917028073	"Vision,deactivation of rhodopsin mediated signaling,rhabdomere,phototransduction, visible light,visual perception,Sensory transduction,calmodulin binding,photoreceptor cell maintenance,inaD signaling complex,response to light stimulus,phototransductionAnnotation Cluster 6"	Enrichment Score: 1.5372277122440874								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Vision	10	1.44092219	0.001650479	0.7453458	5.743791106	"FBtr0075338, FBtr0331716, FBtr0307350, FBtr0302662, FBtr0082547, FBtr0088473, FBtr0082404, FBtr0085513, FBtr0079437, FBtr0083876"	694	56	13921	3.58197818	0.339403822	0.043462621
GOTERM_BP_DIRECT	GO:0016059~deactivation of rhodopsin mediated signaling	5	0.720461095	0.005979073	2.262433	5.387548784	"FBtr0331716, FBtr0307350, FBtr0302662, FBtr0304964, FBtr0079437"	566	15	10996	6.475853946	0.999714692	1
GOTERM_CC_DIRECT	GO:0016028~rhabdomere	7	1.008645533	0.00657542	2.396549857	5.754601636	"FBtr0077519, FBtr0307350, FBtr0082547, FBtr0088473, FBtr0304964, FBtr0085513, FBtr0079437"	561	31	10026	4.035535622	0.901941486	0.462909562
GOTERM_BP_DIRECT	"GO:0007603~phototransduction, visible light"	4	0.576368876	0.012346077	14.82048525	5.153685953	"FBtr0331716, FBtr0088473, FBtr0085513, FBtr0079437"	566	10	10996	7.771024735	0.999999955	1
GOTERM_BP_DIRECT	GO:0007601~visual perception	8	1.152737752	0.023802958	0.481349625	5.2239031	"FBtr0075338, FBtr0331716, FBtr0307350, FBtr0302662, FBtr0082547, FBtr0082404, FBtr0079437, FBtr0083876"	566	56	10996	2.775365977	1	1
UP_KEYWORDS	Sensory transduction	14	2.017291066	0.028842269	0.676792857	6.033420704	"FBtr0075338, FBtr0331716, FBtr0070070, FBtr0302662, FBtr0082547, FBtr0082404, FBtr0085513, FBtr0083876, FBtr0307350, FBtr0085462, FBtr0088473, FBtr0072417, FBtr0079437, FBtr0077987"	694	145	13921	1.936738547	0.999354743	0.297200774
GOTERM_MF_DIRECT	GO:0005516~calmodulin binding	6	0.864553314	0.035481832	1.17752	5.801067476	"FBtr0333673, FBtr0300379, FBtr0088473, FBtr0079638, FBtr0082535, FBtr0085513, FBtr0079437"	507	34	9284	3.231465367	0.999999998	1
GOTERM_BP_DIRECT	GO:0045494~photoreceptor cell maintenance	5	0.720461095	0.079554963	3.3749666	5.150729167	"FBtr0307350, FBtr0302662, FBtr0087241, FBtr0085513, FBtr0079437"	566	32	10996	3.035556537	1	1
GOTERM_CC_DIRECT	GO:0016027~inaD signaling complex	3	0.432276657	0.104103853	12.66533667	4.10308545	"FBtr0088473, FBtr0085513, FBtr0079437"	561	10	10026	5.361497326	1	1
GOTERM_BP_DIRECT	GO:0009416~response to light stimulus	3	0.432276657	0.274590909	12.66533667	4.10308545	"FBtr0088473, FBtr0085513, FBtr0079437"	566	20	10996	2.914134276	1	1
GOTERM_BP_DIRECT	GO:0007602~phototransduction	5	0.720461095	0.277531414	-3.2686386	3.36207571	"FBtr0075338, FBtr0331716, FBtr0302662, FBtr0085513, FBtr0083876"	566	52	10996	1.868034792	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0082547	Cpn-RA	0.398669	0.051533	1.5	FlyBase Cpn-RA	Figure for Cpn-RA							
FBtr0083876	Rh3-RA	1.037006	0	18.9	FlyBase Rh3-RA	Figure for Rh3-RA							
FBtr0304964	Cam-RD	0.285993	NOTEST	19.5	FlyBase Cam-RD	Figure for Cam-RD							
FBtr0077987	Pino-RB	1.299957	0.009609	20.6	FlyBase Pino-RB	Figure for Pino-RB							
FBtr0300379	CaMKII-RJ	2.311701	0.008018	22.2	FlyBase CaMKII-RJ	Figure for CaMKII-RJ							
FBtr0079437	ninaC-RA	2.628441	0.008018	10.4	FlyBase ninaC-RA	Figure for ninaC-RA							
FBtr0082535	Lk6-RB	0.444921	0.05251	19.7	FlyBase Lk6-RB	Figure for Lk6-RB							
FBtr0085513	trp-RA	2.500768	0.011589	18.4	FlyBase trp-RA	Figure for trp-RA							
FBtr0082404	ninaG-RA	1.358534	0.031037	21.7	FlyBase ninaG-RA	Figure for ninaG-RA							
FBtr0087241	Lis-1-RF	0.763826	0.029055	3.9	FlyBase Lis-1-RF	Figure for Lis-1-RF							
FBtr0070070	Or1a-RA	1.004518	0.040404	7.8	FlyBase Or1a-RA	Figure for Or1a-RA							
FBtr0302662	rdgA-RC	0.455241	0.037102	3.1	FlyBase rdgA-RC	Figure for rdgA-RC							
FBtr0307350	Arr1-RB	0.37588	0.02585	5.1	FlyBase Arr1-RB	Figure for Arr1-RB							
FBtr0079638	CG8475-RA	1.155578	0.035105	0.6	FlyBase CG8475-RA	Figure for CG8475-RA							
FBtr0075338	Rh4-RA	0.700931	0.056233	18	FlyBase Rh4-RA	Figure for Rh4-RA							
FBtr0077519	Sec5-RA	0.353804	0.039622	0.7	FlyBase Sec5-RA	Figure for Sec5-RA							
FBtr0085462	Obp99b-RA	-0.20862	0.040404	15.6	FlyBase Obp99b-RA	Figure for Obp99b-RA							
FBtr0072417	pain-RA	0.786701	0.023178	6.1	FlyBase pain-RA	Figure for pain-RA							
FBtr0333673	CaMKII-RK	1.019696	NOTEST	23.7	FlyBase CaMKII-RK	Figure for CaMKII-RK							
FBtr0331716	rdgB-RI	1.704986	0.02037	21.3	FlyBase rdgB-RI	Figure for rdgB-RI							
FBtr0088473	trpl-RB	1.302533	0.033575	9.2	FlyBase trpl-RB	Figure for trpl-RB							
													
Cluster-7	total=8	enrichmentScore=1.3353567960061639	phaseStdDev=4.251437426651792	"Electron transport,B561,Cytochrome b561/ferric reductase transmembraneAnnotation Cluster 7"	Enrichment Score: 1.3353567960061639								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Electron transport	7	1.008645533	0.020964784	0.938792125	4.251437427	"FBtr0303779, FBtr0086156, FBtr0087870, FBtr0084172, FBtr0079840, FBtr0273393, FBtr0081257, FBtr0087869"	694	44	13921	3.191216924	0.995097962	0.225847904
SMART	SM00665:B561	3	0.432276657	0.068174264	2.20766925	4.967820004	"FBtr0303779, FBtr0087870, FBtr0081257, FBtr0087869"	289	8	5218	6.770761246	0.999999928	1
INTERPRO	IPR006593:Cytochrome b561/ferric reductase transmembrane	3	0.432276657	0.068995181	2.20766925	4.967820004	"FBtr0303779, FBtr0087870, FBtr0081257, FBtr0087869"	611	8	10984	6.741407529	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0273393	ND-B17.2-RB	3.847776	0	23	FlyBase ND-B17.2-RB	Figure for ND-B17.2-RB							
FBtr0087869	nemy-RC	0.338843	0.050058	18.9	FlyBase nemy-RC	Figure for nemy-RC							
FBtr0087870	nemy-RB	2.370145	0.009609	6.4	FlyBase nemy-RB	Figure for nemy-RB							
FBtr0303779	CG10165-RC	0.868593	0.042001	7.1	FlyBase CG10165-RC	Figure for CG10165-RC							
FBtr0084172	ND-42-RA	0.973126	0.024683	21	FlyBase ND-42-RA	Figure for ND-42-RA							
FBtr0086156	SdhB-RA	0.68163	0.014377	22.2	FlyBase SdhB-RA	Figure for SdhB-RA							
FBtr0081257	CG13077-RA	1.306587	0.03296	0.4	FlyBase CG13077-RA	Figure for CG13077-RA							
FBtr0079840	Trx-2-RA	1.767768	0.014377	4.5	FlyBase Trx-2-RA	Figure for Trx-2-RA							
													
Cluster-8	total=8	enrichmentScore=1.312728690196051	phaseStdDev=5.916307758960143	"deactivation of rhodopsin mediated signaling,rhodopsin mediated signaling pathway,sensory perception of smellAnnotation Cluster 8"	Enrichment Score: 1.312728690196051								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0016059~deactivation of rhodopsin mediated signaling	5	0.720461095	0.005979073	2.262433	5.387548784	"FBtr0331716, FBtr0307350, FBtr0302662, FBtr0304964, FBtr0079437"	566	15	10996	6.475853946	0.999714692	1
GOTERM_BP_DIRECT	GO:0016056~rhodopsin mediated signaling pathway	3	0.432276657	0.060055434	-1.3856	3.223775302	"FBtr0331716, FBtr0302662, FBtr0304964"	566	8	10996	7.285335689	1	1
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	6	0.864553314	0.321090736	-3.5969675	3.494753191	"FBtr0331716, FBtr0085462, FBtr0302662, FBtr0304964, FBtr0085513, FBtr0077987"	566	73	10996	1.596785904	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0077987	Pino-RB	1.299957	0.009609	20.6	FlyBase Pino-RB	Figure for Pino-RB							
FBtr0079437	ninaC-RA	2.628441	0.008018	10.4	FlyBase ninaC-RA	Figure for ninaC-RA							
FBtr0304964	Cam-RD	0.285993	NOTEST	19.5	FlyBase Cam-RD	Figure for Cam-RD							
FBtr0302662	rdgA-RC	0.455241	0.037102	3.1	FlyBase rdgA-RC	Figure for rdgA-RC							
FBtr0307350	Arr1-RB	0.37588	0.02585	5.1	FlyBase Arr1-RB	Figure for Arr1-RB							
FBtr0085513	trp-RA	2.500768	0.011589	18.4	FlyBase trp-RA	Figure for trp-RA							
FBtr0085462	Obp99b-RA	-0.20862	0.040404	15.6	FlyBase Obp99b-RA	Figure for Obp99b-RA							
FBtr0331716	rdgB-RI	1.704986	0.02037	21.3	FlyBase rdgB-RI	Figure for rdgB-RI							
													
Cluster-9	total=8	enrichmentScore=1.257909378553686	phaseStdDev=5.806073574713399	"voltage-gated potassium channel complex,Ion transport domain,potassium ion transport,Potassium channel,Potassium transport,voltage-gated potassium channel activity,PotassiumAnnotation Cluster 9"	Enrichment Score: 1.257909378553686								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	4	0.576368876	0.03257748	-0.83853625	5.460712431	"FBtr0299833, FBtr0329872, FBtr0074973, FBtr0089659"	561	13	10026	5.498971617	0.999991352	0.953297389
INTERPRO	IPR005821:Ion transport domain	6	0.864553314	0.038071058	-0.229394667	5.981580265	"FBtr0299833, FBtr0088473, FBtr0072417, FBtr0074973, FBtr0085513, FBtr0089659"	611	34	10984	3.172427072	1	1
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	5	0.720461095	0.047341972	-0.7091394	4.891061069	"FBtr0100382, FBtr0299833, FBtr0329872, FBtr0074973, FBtr0089659"	566	27	10996	3.597696637	1	1
UP_KEYWORDS	Potassium channel	3	0.432276657	0.056746324	-3.686300667	2.705572949	"FBtr0299833, FBtr0074973, FBtr0089659"	694	8	13921	7.522154179	0.999999572	0.485785628
UP_KEYWORDS	Potassium transport	4	0.576368876	0.057392395	-2.8126135	2.789279752	"FBtr0100382, FBtr0299833, FBtr0074973, FBtr0089659"	694	18	13921	4.457572847	0.999999639	0.485785628
GOTERM_MF_DIRECT	GO:0005249~voltage-gated potassium channel activity	4	0.576368876	0.071398253	-0.83853625	5.460712431	"FBtr0299833, FBtr0329872, FBtr0074973, FBtr0089659"	507	18	9284	4.069252685	1	1
UP_KEYWORDS	Potassium	4	0.576368876	0.114655768	-2.8126135	2.789279752	"FBtr0100382, FBtr0299833, FBtr0074973, FBtr0089659"	694	24	13921	3.343179635	1	0.740334478
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0329872	SLO2-RL	0.806751	0.040404	7.7	FlyBase SLO2-RL	Figure for SLO2-RL							
FBtr0100382	nrv2-RF	1.287082	0.025327	23.8	FlyBase nrv2-RF	Figure for nrv2-RF							
FBtr0085513	trp-RA	2.500768	0.011589	18.4	FlyBase trp-RA	Figure for trp-RA							
FBtr0074973	Shal-RA	1.551797	0.015683	19.8	FlyBase Shal-RA	Figure for Shal-RA							
FBtr0299833	KCNQ-RD	0.662288	0.042671	23.8	FlyBase KCNQ-RD	Figure for KCNQ-RD							
FBtr0072417	pain-RA	0.786701	0.023178	6.1	FlyBase pain-RA	Figure for pain-RA							
FBtr0089659	Sh-RA	0.790605	0.040178	17.3	FlyBase Sh-RA	Figure for Sh-RA							
FBtr0088473	trpl-RB	1.302533	0.033575	9.2	FlyBase trpl-RB	Figure for trpl-RB							
													
Cluster-10	total=17	enrichmentScore=1.2447682532107796	phaseStdDev=3.393585816660603	"Chaperone,protein targeting to mitochondrion,Twin CX3C motif,Tim10/DDP family zinc finger,mitochondrial protein-transporting ATPase activity,mitochondrial inner membrane presequence translocase complex,Translocation,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,Protein transportAnnotation Cluster 10"	Enrichment Score: 1.2447682532107796								
